F, epochs, epsilon, B, weightcost, momentum, trRSME, vlRSME
4, 7, 0.01, 10, 0.0005, 0.5, 1.04148645898, 1.15479294873
4, 8, 0.01, 10, 0.0005, 0.5, 1.03950194401, 1.15997062465
4, 9, 0.01, 10, 0.0005, 0.5, 1.03333052799, 1.17037539652
4, 10, 0.01, 10, 0.0005, 0.5, 1.03529617691, 1.17646010985
4, 11, 0.01, 10, 0.0005, 0.5, 1.02736415347, 1.17933529915
4, 12, 0.01, 10, 0.0005, 0.5, 1.02610105205, 1.17429480202
4, 13, 0.01, 10, 0.0005, 0.5, 1.02218640285, 1.17033167131
4, 14, 0.01, 10, 0.0005, 0.5, 1.02027963034, 1.16230240661
4, 15, 0.01, 10, 0.0005, 0.5, 1.02494932488, 1.16915784001
4, 16, 0.01, 10, 0.0005, 0.5, 1.0272070899, 1.17470215606
4, 17, 0.01, 10, 0.0005, 0.5, 1.02310210355, 1.17783654512
4, 18, 0.01, 10, 0.0005, 0.5, 1.01928451266, 1.16674018266
4, 19, 0.01, 10, 0.0005, 0.5, 1.01788780197, 1.17640271135
4, 20, 0.01, 10, 0.0005, 0.5, 1.02078552926, 1.18261236643
4, 21, 0.01, 10, 0.0005, 0.5, 1.0121216679, 1.18258303625
4, 22, 0.01, 10, 0.0005, 0.5, 1.01090363166, 1.18639402519
4, 23, 0.01, 10, 0.0005, 0.5, 1.01703298552, 1.19141890847
4, 24, 0.01, 10, 0.0005, 0.5, 1.02117559992, 1.19783416801
4, 25, 0.01, 10, 0.0005, 0.5, 1.01414264861, 1.19895270889
4, 26, 0.01, 10, 0.0005, 0.5, 1.01984790096, 1.21052905036
4, 27, 0.01, 10, 0.0005, 0.5, 1.01692927822, 1.20908851929
4, 28, 0.01, 10, 0.0005, 0.5, 1.01781307967, 1.21429159351
4, 29, 0.01, 10, 0.0005, 0.5, 1.01497954485, 1.21008357085
4, 30, 0.01, 10, 0.0005, 0.5, 1.0191412265, 1.22700888152
4, 31, 0.01, 10, 0.0005, 0.5, 1.01991318657, 1.22998655079
4, 32, 0.01, 10, 0.0005, 0.5, 1.02066227652, 1.22917407589
4, 33, 0.01, 10, 0.0005, 0.5, 1.01891688618, 1.23273779731
4, 34, 0.01, 10, 0.0005, 0.5, 1.01213590253, 1.23224673709
4, 35, 0.01, 10, 0.0005, 0.5, 1.02051087303, 1.24295222496
4, 36, 0.01, 10, 0.0005, 0.5, 1.01746007524, 1.22716813
4, 37, 0.01, 10, 0.0005, 0.5, 1.01934964585, 1.23773030808
4, 38, 0.01, 10, 0.0005, 0.5, 1.01678423603, 1.24049907956
4, 39, 0.01, 10, 0.0005, 0.5, 1.01632260752, 1.23050001404
4, 40, 0.01, 10, 0.0005, 0.5, 1.01541656254, 1.25162317708
4, 41, 0.01, 10, 0.0005, 0.5, 1.01686434252, 1.24668918624
